cognateset_ids,n_cognatesets,root_forms,root_languages
375 | 1206 | 5427 | 5975 | 7404,5,*dei̯- | *dei̯- | *dei̯- | *dei̯- | *dei̯-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1304 | 2813 | 2930 | 6702 | 7573,5,*mei̯H- | *mei̯H- | *mei̯H- | *mei̯H- | *mei̯H-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1244 | 1855 | 7036 | 9185 | 9446,5,*keh₂u̯- | *keh₂u̯- | *keh₂u̯- | *keh₂u̯- | *keh₂u̯-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
696 | 5085 | 7787 | 9541 | 9652,5,*kʷek̑- | *kʷek̑- | *kʷek̑- | *kʷek̑-  | *kʷek̑-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
579 | 1172 | 2150 | 3395 | 5338,5,*nebʰ- | *nebʰ- | *nebʰ- | *nebʰ- | *nebʰ-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
929 | 1028 | 2307 | 2409 | 8690,5,*u̯ei̯d- | *u̯ei̯d- | *u̯ei̯d- | *u̯ei̯d- | *u̯ei̯d-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
928 | 1254 | 2312 | 2878 | 7276,5,*pekʷ- | *pekʷ- | nan | *pekʷ- | *pekʷ-,Proto-Indo-European | Proto-Indo-European | nan | Proto-Indo-European | Proto-Indo-European
697 | 1466 | 1582 | 5064 | 7700,5,*(s)kep- | *(s)kep- | *(s)kep- | *(s)kep- | *(s)kep-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1074 | 3129 | 3506 | 5123 | 5537,5,*u̯idʰh₁ú- | *u̯idʰh₁ú- | *u̯idʰh₁ú- | *h₁u̯idʰh₁u-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1367 | 1874 | 5112 | 7555 | 8099,5,*melh₂- | *melh₂- | *melh₂- | *melh₂- | *melh₂-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1369 | 1969 | 4996 | 5093 | 9163,5,*u̯ei̯h₁- | *u̯ei̯h₁- | *u̯ei̯h₁- | *u̯ei̯h₁- | *u̯ei̯h₁-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1097 | 2343 | 2712 | 2843 | 5458,5,nan | aste | v′ia- | *u̯edʰ(h₁)- | *u̯edʰ(h₁)-,nan | Latvian | Nuristani | Proto-Indo-European | Proto-Indo-European
1500 | 2036 | 2667 | 3747 | 6703,5,*peh₂g̑- | *peh₂g̑-  | *peh₂g̑- | *peh₂g̑- | *peh₂g̑-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
1334 | 1649 | 6315 | 8326 | 8366,5,*g̑ʰengʰ- | *g̑ʰengʰ- | *g̑ʰengʰ- | *g̑ʰengʰ- | *(s)ken⁽g̑⁾-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
5063 | 6322 | 8585 | 8710 | 9723,5,*gʰas- | *gʰas- | *gʰas- | *gʰas-,Proto-Indo-Iranic | Proto-Indo-Iranic | Proto-Indo-Iranic  | Proto-Indo-Iranic
1180 | 1207 | 1238 | 4832 | 5215,5,"*pr̥-, *pró, *prí | *pro- | *pr̥-, *pró, *prí | *pr̥-, *pró, *prí | *pr̥-, *pró, *prí",Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
3285 | 8206 | 8671 | 9182,4,*hu̯ah- | *hu̯ah- | *hu̯ah- | *hu̯ah-,Proto-Iranic | Proto-Iranic | Proto-Iranic | Proto-Iranic
468 | 1179 | 3580 | 7058,4,*h₂ek̑- | *h₂ek̑- | *h₂ek̑- | *h₂ek̑-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
328 | 4968 | 9778 | 9779,4,*Hd-ónt- | *Hd-ónt- | *Hd-ónt- | *Hd-ónt-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
3161 | 7115 | 7290 | 9965,4,*g̑i̯eu̯H- | *g̑i̯eu̯H-  | *g̑i̯eu̯H-  | *g̑i̯eu̯H-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
190 | 3000 | 3110 | 7540,4,*bʰleh₁- | *bʰleh₁- | *bʰleh₁- | *bʰleh₁-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
172 | 1163 | 3214 | 6533,4,*kʷr̥mi- | *kʷr̥mi- | *kʷr̥mi- | *kʷr̥mi-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
2912 | 8793 | 8814 | 9501,4,*gandʰá- | *gandʰá- | *gandʰá- | *gandʰá-,Proto-Indo-Iranic | Proto-Indo-Iranic | Proto-Indo-Iranic | Proto-Indo-Iranic
3062 | 3063 | 4114 | 7514,4,*gar- | gȳrāre | ghūrṇa- | ghūrṇati,Proto-Iranic | Latin | Sanskrit | Sanskrit
229 | 1195 | 1295 | 7209,4,?*gʰedʰ- | ?*gʰedʰ-  | ?*gʰedʰ- | ?*gʰedʰ-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
257 | 1020 | 6505 | 7629,4,?*delh₁- | nan | ?*delh₁- | ?*delh₁-,Proto-Indo-European | nan | Proto-Indo-European | Proto-Indo-European
195 | 1078 | 1080 | 1896,4,*u̯elg- | *u̯elg- | *u̯elg- | *u̯elg-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
4867 | 6197 | 6947 | 8008,4,*h₃rei̯H- | *h₃rei̯H- | *h₃rei̯H- | *h₃rei̯H-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
259 | 1889 | 2235 | 6414,4,*pleh₁- | *pleh₁- | *pleh₁- | *pleh₁-,Proto-Indo-European | Proto-Indo-European | Proto-Indo-European | Proto-Indo-European
